stress,cycle,defect_size
306.1673172,90388385.02,32.33899964
306.2901884,70995736.19,32.91381582
313.7191623,35524593.07,38.19141147
303.6148302,216420356.3,22.90989007
324.2391922,158559804.4,17.12723777
304.9541615,123897253.5,30.05452292
317.7899472,96994633.8,19.65605496
303.8154427,166157621.2,22.9613857
316.2009954,28830607.23,37.89288365
331.6373393,84453576,15.53965841
322.0977761,128652782.3,16.46567232
376.513207,54681790,12.59913697
390.3312102,17738604.55,11.44914564
303.8719032,120915383.5,27.69122699
309.3250707,129453781.9,18.16390185
319.6990319,31987039.65,30.17168301
300.8696452,179951787.2,23.76914832
303.6853872,209350097,25.83080359
302.4199452,195726128.5,24.82267409
344.2420676,65212828.84,15.97064506
310.3400372,45758195.08,32.3827456
324.8768128,14589905.91,44.14024515
313.5540426,30647700.96,36.14805994
314.726194,43118304.84,38.5310197
333.5191846,82052511.62,16.10054163
311.135301,27446499.76,38.45827366
322.9359627,19249252.93,43.06918617
311.7931649,42476701.84,36.42834093
311.1797474,217665594.8,20.06224786
309.3493149,51700505.87,37.42319617
313.4652875,34606092.28,32.72897559
311.8898101,225407089.5,19.07889021
381.1597914,28876645.23,12.04130392
312.7277695,93467605.33,21.09371342
358.1754282,57974697.1,14.43609782
392.1245202,18176620.84,11.46145296
358.087869,92139184.4,13.45781974
327.8451242,14968993.25,28.39002306
390.384534,18801632.09,11.39668222
307.9587348,49725820.57,29.69873701
300.8598812,181243271.4,26.10304696
300.9942077,222125403.3,26.05855892
395.1498508,15644942.26,11.452486
305.0486982,110712220,30.7867533
314.0178598,84216185.09,22.04474417
302.5142994,178569773.1,23.43396522
391.5071726,19036356.28,11.5733406
312.3986624,35463645.77,36.52573931
394.2625761,16546921.1,11.44532931
296.9351612,229548100.2,24.86791331
319.4326028,25245194.86,41.54618348
307.253556,67822866.41,30.17635171
305.0077442,231357987.4,22.08477066
393.0621311,16018594.13,11.48582354
366.7639807,26572407.89,12.65892261
349.7666955,100650763.5,13.67391102
328.8158603,114015848.4,18.36372127
298.8877758,175299693.7,25.86073354
338.5855943,76916127.47,15.3504363
299.0885112,226486780.6,26.42353767
302.7578365,138114733.3,29.06348389
302.1371361,221860280.4,25.86705483
326.0736927,104924253.9,16.79762251
313.5649428,105655957.6,21.71755317
305.8160782,98840322.34,32.21247826
399.5241463,13426007.3,11.08968068
398.152405,14661107.55,11.1816968
394.2127839,15371551.13,11.51131168
308.8482223,63653955.67,35.73741745
304.6177492,213088700.6,22.84019086
