stress,cycle,defect_size
343.2641894,281115632,17.56063368
343.170014,276722104.1,17.35302638
347.7302134,359472017.9,14.14664572
344.1004902,276065446.6,17.19293836
347.3599792,350269924.2,14.03101226
346.6968536,309807201.8,14.92534752
345.5032855,306423706.3,15.9634922
344.0374762,285088101.4,17.11774432
346.8898237,337059002.8,14.75592353
341.160509,265076464.8,19.02565439
346.9655722,302861030.4,15.09576013
345.3284413,305510542.8,15.96952491
343.6841607,265128344.6,17.66443437
342.0854241,270517041.7,18.07350871
346.7758417,337195569.3,14.97096826
342.9068625,267230156.3,18.44435449
343.0833101,272166845.9,18.18831242
347.1244812,331148004.1,14.67908409
347.6326764,374848413.1,13.48656226
346.3292003,301783973,15.30034779
340.6355947,271219605.4,19.11996893
347.0350385,338093258.3,14.46786825
346.9684005,317672039.8,14.89190598
347.1781492,326481484.3,15.13633809
344.8613167,291159842.7,16.33730875
344.298014,285263518.9,17.40437815
345.0704902,290447919,16.1368746
344.0857023,280796686.8,17.34762259
348.992452,389425563.8,13.11664936
345.7591116,298269061.3,15.6116925
343.0807054,277016191.2,17.48508092
345.6457704,292728370.2,16.38729023
345.6805289,290366242.5,15.76110344
343.230778,288158836.8,17.78662174
346.4001924,334662139.7,15.19981331
343.5820282,282043940.8,17.49720207
349.4378775,390267633.7,12.55883038
344.3160862,281192699,16.61569032
342.3638672,272425233.4,18.29241937
349.1934061,397840642.2,12.65501888
345.5027014,294916562,16.54913875
345.117411,292720891.6,16.15911475
344.5889145,299352327.4,16.82005502
347.9366601,366576838.8,13.98498641
346.4154005,316841963.9,15.13545997
